id,code_kpgz,name
839,01.15.05.04.03.01,СРЕДСТВА КОРРЕКТИРУЮЩИЕ КАНЦЕЛЯРСКИЕ
840,01.20.03.04.03.03,МЕТЛЫ ДЛЯ УБОРКИ
841,01.11.06.02.01.09,РЕЗЬБЫ СТАЛЬНЫЕ
842,01.15.05.04.02,ЛЕНТА КЛЕЙКАЯ КАНЦЕЛЯРСКАЯ
843,01.20.04.07.02,СРЕДСТВА ПОЛИРУЮЩИЕ ДЛЯ МЕБЕЛИ
844,01.15.05.01.05.01.01,ПОДСТАВКИ ДЛЯ КАНЦЕЛЯРСКИХ ПРИНАДЛЕЖНОСТЕЙ ПЛАСТИКОВЫЕ
845,01.11.01.08.12.14,"ИЗОЛЯТОРЫ, КОНДЕНСАТОРЫ, РЕЗИСТОРЫ"
846,01.02.11.01.06.02.04,ДИСТИЛЛЯТОРЫ
847,01.11.04.02.03.05,ЖАЛЮЗИ ОКОННЫЕ
848,01.11.01.04.18,ТРАПЫ КАНАЛИЗАЦИОННЫЕ
849,01.11.02.05.03.02,ПАЯЛЬНИКИ ГАЗОВЫЕ
850,01.01.07.02.06,ШОКОЛАД
851,01.13.07.05.05,СТАБИЛИЗАТОРЫ НАПРЯЖЕНИЯ
852,01.02.11.01.14.44.01,"СИСТЕМА СТОМАТОЛОГИЧЕСКАЯ АСПИРАЦИОННАЯ, НЕХИРУРГИЧЕСКАЯ"
853,01.11.02.01.21,ПЛИТКОРЕЗЫ
854,01.18.04,"СЕЯНЦЫ, САЖЕНЦЫ ДЕРЕВЬЕВ И КУСТАРНИКОВ"
855,01.16.13.01,ДИВАНЫ
856,01.02.10.43.01.85.02,"РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ БИОХИМИЧЕСКОГО АНАЛИЗАТОРА ""САПФИР-400"" (HIROSE ELECTRONIC SYSTEM)"
857,01.11.01.03.03.01.02,ВОДОНАГРЕВАТЕЛИ ЭЛЕКТРИЧЕСКИЕ НАКОПИТЕЛЬНЫЕ
858,01.02.11.01.09.17.07,УВЛАЖНИТЕЛЬ ДЫХАТЕЛЬНЫХ СМЕСЕЙ С ПОДОГРЕВОМ
859,01.02.11.01.12.02.09.01,АНАЛИЗАТОР СОДЕРЖАНИЯ АЛКОГОЛЯ В ВЫДЫХАЕМОМ ВОЗДУХЕ
860,01.12.05.07,КУСТОРЕЗЫ
861,01.13.17.02,МАТЕРИНСКИЕ ПЛАТЫ
862,01.10.06.03,АРГОН
863,01.15.05.02.06.01.02,ОБЛОЖКИ ДЛЯ ПЕРЕПЛЕТА ПЛАСТИКОВЫЕ
864,01.23.32,КОМПЛЕКТУЮЩИЕ (ЗАПАСНЫЕ ЧАСТИ) К ТОВАРАМ ДЛЯ БЛАГОУСТРОЙСТВА ТЕРРИТОРИЙ
865,01.25.02.03.03,ШКАФЫ ХОЛОДИЛЬНЫЕ
866,01.13.11.03.05.06,СИСТЕМЫ АКУСТИЧЕСКИЕ
867,01.11.09.06,ОГРАЖДЕНИЯ ПЕРЕДВИЖНЫЕ И КОМПЛЕКТУЮЩИЕ К НИМ
868,01.11.02.02.03.07,СТАМЕСКИ
869,01.11.04.09.02.02,ПЛИТЫ ТРОТУАРНЫЕ БЕТОННЫЕ
870,01.05.02.01.01,ГАЗОАНАЛИЗАТОРЫ
871,01.03.01.29.05,СИСТЕМЫ ПЕРЕДАЧИ ИЗВЕЩЕНИЙ О ПОЖАРЕ И ИХ КОМПОНЕНТЫ
872,01.04.03.04.02,ГРЕБНЫЕ ЛОДКИ
873,01.11.01.04.01,УНИТАЗЫ
874,01.02.10.16.04.03.01,РАСХОДНЫЕ И КОМПЛЕКТУЮЩИЕ ИЗДЕЛИЯ ДЛЯ ДЫХАТЕЛЬНЫХ КОНТУРОВ
875,01.15.05.07.02,НАБОРЫ КАНЦЕЛЯРСКИЕ ИЗ ДЕРЕВА
876,01.13.01.01.02.03,АРМ СТАЦИОНАРНЫЕ МОДУЛЬНЫЕ СПЕЦИАЛЬНЫЕ
877,01.02.11.01.13.05.11,ОПОРЫ-ХОДУНКИ
878,01.04.01.07.14.04,ЛОМЫ ПОЖАРНЫЕ
879,01.11.06.02.01.08,ОТВОДЫ СТАЛЬНЫЕ
880,01.02.09.13.01,"ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ ЗАБОЛЕВАНИЙ ГЛАЗ,S01"
881,01.15.04.03.03,КАРАНДАШИ МЕХАНИЧЕСКИЕ
882,01.16.16.01,СТЕЛЛАЖИ ДЕРЕВЯННЫЕ
883,01.13.04.03.07,СКАНЕРЫ
884,01.10.04.03.10,БАТАРЕИ АККУМУЛЯТОРНЫЕ ЛИТИЕВЫЕ
885,01.01.13.08.01,СОКИ ФРУКТОВЫЕ ДЛЯ ДЕТСКОГО ПИТАНИЯ ДЛЯ РАЗДАЧИ ЧЕРЕЗ МОЛОЧНО-РАЗДАТОЧНЫЕ ПУНКТЫ
886,01.19.10.18,"СРЕДСТВА ЗАЩИТЫ НОГ, КРОМЕ ОБУВИ СПЕЦИАЛЬНОЙ"
887,03.31.03.02.01,АРЕНДА АВТОМОБИЛЕЙ ГРУЗОВЫХ С ВОДИТЕЛЕМ
888,01.02.11.01.06.02.07.02,СИСТЕМА МОЕЧНАЯ ДЛЯ ПРЕДОПЕРАЦИОННОЙ ОБРАБОТКИ РУК
889,01.11.01.02.07,КОНДИЦИОНЕРЫ БЫТОВЫЕ
890,01.12.04.02.01,СНЕГООЧИСТИТЕЛИ РОТОРНЫЕ
891,01.11.02.10.03.01,ЭЛЕКТРОДЫ СВАРОЧНЫЕ С ПОКРЫТИЕМ
892,03.24.02,"ДОКУМЕНТАРНОЕ ОБЕСПЕЧЕНИЕ, ДЕЛОПРОИЗВОДСТВО"
893,01.10.01.02.04,МАСЛА КОМПРЕССОРНЫЕ
894,01.02.11.01.13.02.07,АППАРАТЫ ДЛЯ ЭЛЕКТРОТЕРАПИИ
895,01.19.04.05.03,ОБУВЬ ЗИМНЯЯ С ВЕРХОМ ИЗ КОЖИ
896,01.13.16.02.04,ОММЕТРЫ
897,01.13.09.15,АТТЕНЮАТОРЫ
898,01.01.01.18,КОМПЛЕКСНЫЕ ПИЩЕВЫЕ ДОБАВКИ
899,01.01.10.06.01,СЫРЫ РАССОЛЬНЫЕ
900,01.23.09.01,ЭЛЕМЕНТЫ ОБЕСПЕЧЕНИЯ НАВИГАЦИИ И КОМПЛЕКТУЮЩИЕ К НИМ
901,01.19.01.12,ФУТБОЛКИ ТРИКОТАЖНЫЕ ДЛЯ ВЗРОСЛЫХ
902,01.10.08.01,ПРОПАН СЖИЖЕННЫЙ
903,01.11.02.02.03.11,ГВОЗДОДЕРЫ
904,01.08.01.13.99,"ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ ФУТБОЛА, МИНИ-ФУТБОЛА ПРОЧЕЕ"
905,01.02.11.01.07.04.10,ОБЛУЧАТЕЛЬ УЛЬТРАФИОЛЕТОВЫЙ БАКТЕРИЦИДНЫЙ
906,01.13.07.04,ШКАФЫ МОНТАЖНЫЕ
907,01.11.02.06.01.04,ТЕЛЕЖКИ ГРУЗОВЫЕ
908,03.13.03.02,ТЕХНИЧЕСКОЕ ОБСЛУЖИВАНИЕ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКОГО ОБОРУДОВАНИЯ
909,01.20.04.09.02,"СРЕДСТВА ДЛЯ СТИРКИ БЕЛЬЯ, КРОМЕ ПОРОШКА СТИРАЛЬНОГО"
910,01.07.12,"ОДЕЖДА, ОБУВЬ И РЕКВИЗИТ СЦЕНИЧЕСКИЕ"
911,01.02.11.04.07.01.05,"СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ ДЕЗИНФЕКЦИОННЫХ КАМЕР"
912,01.24.03.01,КОВРЫ
913,01.02.11.01.12.03.06.06,МИКРОСКОП СВЕТОВОЙ СТАНДАРТНЫЙ
914,01.11.03.05.05.01,КРАСКИ НА ОСНОВЕ АКРИЛОВЫХ ИЛИ ВИНИЛОВЫХ ПОЛИМЕРОВ В ВОДНОЙ СРЕДЕ
915,01.11.01.06.06,ПРИБОРЫ УЧЕТА ПРОЧИЕ
916,01.11.02.02.03.12,КИЯНКИ
917,01.02.11.01.07.01,ОЧИСТИТЕЛИ УЛЬТРАЗВУКОВЫЕ
918,01.02.11.01.13.01.01.01.02,"СИСТЕМА ИНГАЛЯЦИОННОЙ ТЕРАПИИ, С ПОДОГРЕВОМ"
919,01.02.10.43.11,НАБОРЫ РЕАКТИВОВ/РЕАГЕНТОВ
920,01.02.10.43.105.03,"OPISTHORCHIS SPP., АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН G (IGG), ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
921,01.02.10.43.105.01,"OPISTHORCHIS SPP. АНТИТЕЛА КЛАССА ИММУНОГЛОБУЛИН M (IGM) ИВД, НАБОР, ИММУНОФЕРМЕНТНЫЙ АНАЛИЗ (ИФА)"
922,01.11.01.04.11.05,ЛЮКИ РЕВИЗИОННЫЕ САНТЕХНИЧЕСКИЕ
923,01.02.09.01.10,"ПРЕПАРАТЫ ДЛЯ ЛЕЧЕНИЯ САХАРНОГО ДИАБЕТА,A10"
924,01.16.10.03,ЭКРАНЫ РАЗДЕЛИТЕЛЬНЫЕ
925,01.11.03.09.01.02,МАСТИКИ ГИДРОИЗОЛЯЦИОННЫЕ
926,01.02.11.03.11,ШИРМЫ МЕДИЦИНСКИЕ
927,01.08.01.13.05,ВОРОТА ФУТБОЛЬНЫЕ
928,01.15.05.02.05.01,ДЫРОКОЛЫ КАНЦЕЛЯРСКИЕ
929,01.20.04.01.05,СРЕДСТВА ЧИСТЯЩИЕ ДЛЯ САНТЕХНИКИ
930,01.15.05.17.02,ПРИНАДЛЕЖНОСТИ ДЛЯ ФЛАЖНОЙ ПРОДУКЦИИ
931,01.13.06.11,ТРАНСИВЕРЫ
932,01.24.01.99,ТКАНИ ПРОЧИЕ
933,01.02.11.03.01.03.01,"КРЕСЛО ДЛЯ ОСМОТРА/ТЕРАПЕВТИЧЕСКИХ ПРОЦЕДУР ОБЩЕГО НАЗНАЧЕНИЯ, С ЭЛЕКТРОПИТАНИЕМ"
934,01.11.02.05.03.03,ПАЯЛЬНЫЕ СТАНЦИИ
935,01.13.11.03.01.04,ТЕЛЕВИЗОРЫ
936,01.13.04.04.04,УСТРОЙСТВА ВВОДА ПОЗИЦИОННЫЕ (КОНТРОЛЛЕРЫ)
937,01.11.02.02.03.10,СТРУБЦИНЫ
938,01.14.01.03,ЛИТЕРАТУРА УЧЕБНО-МЕТОДИЧЕСКАЯ И СПРАВОЧНАЯ ДЛЯ ОБУЧЕНИЯ
939,01.12.05.03,ВОЗДУХОДУВЫ
940,01.04.01.12,РАЗВЕТВЛЕНИЯ РУКАВНЫЕ ПОЖАРНЫЕ
941,01.02.11.01.16.26,КАМЕРТОН
942,01.25.01.03,УСТРОЙСТВА ЗАРЯДНЫЕ ДЛЯ АККУМУЛЯТОРОВ АВТОМОБИЛЬНЫХ
943,01.16.02.01,ТАБУРЕТЫ
944,01.19.10.17.02,ПЕРЧАТКИ ТРИКОТАЖНЫЕ ДЛЯ ЗАЩИТЫ ОТ ВНЕШНИХ ВОЗДЕЙСТВИЙ
945,01.11.01.04.07,УМЫВАЛЬНИКИ
946,03.36.05,УСЛУГИ ПО УХОДУ
947,01.10.05.03.01.02,СВЕТИЛЬНИКИ НЕСТАЦИОНАРНЫЕ
948,01.10.01.01.02,ТОПЛИВО ДИЗЕЛЬНОЕ (РОЗНИЧНАЯ РЕАЛИЗАЦИЯ)
949,01.18.02,КОМПОЗИЦИИ ИЗ СРЕЗАННЫХ ЦВЕТОВ
950,01.11.04.06.03,ЛЕНТА КЛЕЕВАЯ НА БУМАЖНОЙ ОСНОВЕ
951,01.20.05.01.05.03,СРЕДСТВА ДЛЯ УХОДА ЗА ТЕЛОМ
952,01.20.04.02.10,СРЕДСТВА МОЮЩИЕ ДЛЯ СТЕКОЛ И ЗЕРКАЛ
953,01.15.05.04.10,РЕЗИНКИ БУХГАЛТЕРСКИЕ
954,01.15.02.05.07,КНИГИ УЧЕТА УНИВЕРСАЛЬНЫЕ
955,03.36.14,УСЛУГИ ПО ХИМИЧЕСКОЙ ЧИСТКЕ ИЗДЕЛИЙ
956,01.09.04.01,ПРИЦЕПЫ
957,01.02.11.03.01.02,"КРЕСЛА МЕДИЦИНСКИЕ, СПЕЦИАЛИЗИРОВАННЫЕ"
958,01.02.10.13.02,ПЕРЧАТКИ СМОТРОВЫЕ/ПРОЦЕДУРНЫЕ И ХИРУРГИЧЕСКИЕ
959,01.02.11.01.13.04.11,СИСТЕМЫ КОГНИТИВНОЙ РЕАБИЛИТАЦИИ
960,01.02.11.01.10.01.01,"КОНСОЛЬ С ПОДВОДАМИ КОММУНИКАЦИЙ УНИВЕРСАЛЬНАЯ, С ПОТОЛОЧНЫМ КРЕПЛЕНИЕМ"
961,01.02.11.01.13.04.12,СТОЛЫ ТРАКЦИОННЫЕ
962,01.11.01.07.01.17,МОТОПОМПЫ
963,01.11.02.02.03.03,ТОПОРЫ
964,01.20.03.04.03.01,ЕРШИ
965,01.15.05.03.01.05,ФЛИПЧАРТЫ
966,01.15.05.02.06.03.01,ПРУЖИНЫ ДЛЯ ПЕРЕПЛЕТА МЕТАЛЛИЧЕСКИЕ
967,01.02.11.01.03.05,ПРОЕКТОР ДЛЯ ПРОВЕРКИ ОСТРОТЫ ЗРЕНИЯ
968,01.13.06.09,МАРШРУТИЗАТОР
969,01.13.10.14,"ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ (ПО), КРОМЕ ПО НА ЭЛЕКТРОННОМ НОСИТЕЛЕ"
970,01.11.04.05.99,КОМПЛЕКТУЮЩИЕ ДЛЯ ПОТОЛКОВ ПРОЧИЕ
971,01.20.03.04.04.01,ПЕРЧАТКИ РЕЗИНОВЫЕ ОБЩЕГО НАЗНАЧЕНИЯ (КРОМЕ МЕДИЦИНСКИХ)
972,01.11.01.08.03,УСТРОЙСТВА ПЛАВНОГО ПУСКА ЭЛЕКТРОДВИГАТЕЛЕЙ
973,01.02.10.45.04,ТЕРМОМЕТР ДЛЯ КОНТРОЛЯ ХОЛОДОВОЙ ЦЕПИ
974,01.02.10.22.05,"ПАКЕТЫ БУМАЖНЫЕ ДЛЯ МЕДИЦИНСКОЙ ПАРОВОЙ, ГАЗОВОЙ, РАДИАЦИОННОЙ И ВОЗДУШНОЙ СТЕРИЛИЗАЦИИ"
975,01.11.05.06.03,ЛЕНТЫ РАЗМЕТОЧНЫЕ ПОЛИМЕРНЫЕ
976,01.13.11.01.04,ЛАМИНАТОРЫ
977,01.02.10.43.01.24.03,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ ПРОИЗВОДСТВА ""RADIOMETER"""
978,02.17.01.01.01,ИЗГОТОВЛЕНИЕ ФОРМЕННОЙ ОДЕЖДЫ
979,01.01.03.25.02.01,ФРУКТЫ СУШЕНЫЕ
980,01.09.08.10.06.01,ЗАПЛАТЫ КАМЕРНЫЕ ДЛЯ РЕМОНТА КОЛЕС
981,01.02.11.01.03.06,НАБОРЫ ПРОБНЫХ ОЧКОВЫХ ЛИНЗ
982,01.12.05.10,ВИБРОПЛИТЫ
983,01.13.12.07,АППАРАТЫ КОНТРОЛЬНО-КАССОВЫЕ
984,01.11.02.01.17,ЗАКЛЕПОЧНИКИ
985,01.20.06.01.03,СОСУДЫ ДЛЯ ПИТЬЯ СТЕКЛЯННЫЕ
986,01.13.07.05.03.02,ЩИТЫ И УСТРОЙСТВА АВР
987,01.09.08.10.05.04,ШИНЫ ПНЕВМАТИЧЕСКИЕ ДЛЯ СЕЛЬСКОХОЗЯЙСТВЕННЫХ МАШИН
988,01.03.02.03,СЧИТЫВАТЕЛИ
989,01.19.04.07,ОБУВЬ С ВЕРХОМ ИЗ ТЕКСТИЛЬНЫХ МАТЕРИАЛОВ
990,01.20.05.01.05.02.02,КРЕМЫ ДЛЯ УХОДА ЗА КОЖЕЙ ЛИЦА
991,01.15.05.04.07.02,РАЗДЕЛИТЕЛИ ЛИСТОВ ПЛАСТИКОВЫЕ
992,01.19.06.99,ТОВАРЫ ГАЛАНТЕРЕЙНЫЕ ПРОЧИЕ
993,01.15.05.04.07.01,РАЗДЕЛИТЕЛИ ЛИСТОВ КАРТОННЫЕ
994,01.11.03.14.07,СЕТКА АРМАТУРНАЯ СТАЛЬНАЯ СВАРНАЯ
995,01.11.01.04.11.02,ФУРНИТУРА ДЛЯ СМЕСИТЕЛЕЙ
996,01.10.02.04,ЖИДКОСТИ ДЛЯ ОМЫВАТЕЛЕЙ СТЕКЛА
997,01.19.02.17,ОДЕЖДА ДЛЯ ДЕТЕЙ И ПОДРОСТКОВ ФОРМЕННАЯ
998,01.19.08,"ЗНАКИ РАЗЛИЧИЯ НАПЛЕЧНЫЕ, НАРУКАВНЫЕ, КОКАРДЫ, НАШИВКИ"
999,01.23.11,ПОКРЫТИЯ И ЭЛЕМЕНТЫ СОПРЯЖЕНИЯ ДЛЯ ТЕРРИТОРИЙ БЛАГОУСТРОЙСТВА
1000,01.11.03.99,МАТЕРИАЛЫ СТРОИТЕЛЬНЫЕ ПРОЧИЕ
1001,01.01.09.01.01,ЯЙЦА КУРИНЫЕ В СКОРЛУПЕ СВЕЖИЕ
1002,01.11.05.07.21,ФИКСАТОРЫ АРМАТУРЫ БЕТОННЫЕ
1003,01.15.05.01.05.01.04,ПОДУШКИ ДЛЯ СМАЧИВАНИЯ ПАЛЬЦЕВ
1004,01.11.06.01.06.02,ЗАГЛУШКИ ИЗ НПВХ ДЛЯ СИСТЕМ НАРУЖНОЙ КАНАЛИЗАЦИИ
1005,01.15.04.01.09,СТЕРЖНИ ДЛЯ РУЧЕК КАНЦЕЛЯРСКИХ
1006,01.02.10.42.22.16,ШПРИЦ ОБЩЕГО НАЗНАЧЕНИЯ ОДНОРАЗОВОГО ИСПОЛЬЗОВАНИЯ
1007,01.02.10.54.09,РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ МЕДИЦИНЫ ЧАСТЬ 9
1008,01.04.04.18,ЧАСТИ ЗАПАСНЫЕ И МАТЕРИАЛЫ РАСХОДНЫЕ ДЛЯ ОБОРУДОВАНИЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ
1009,01.02.09.01.07,"ПРОТИВОДИАРЕЙНЫЕ, КИШЕЧНЫЕ ПРОТИВОВОСПАЛИТЕЛЬНЫЕ И ПРОТИВОМИКРОБНЫЕ ПРЕПАРАТЫ,A07"
1010,01.15.05.16.01,НОЖИ КАНЦЕЛЯРСКИЕ
1011,01.15.02.08,"ДИПЛОМЫ, ГРАМОТЫ, ОТКРЫТКИ (КРОМЕ ПОЧТОВЫХ)"
1012,01.11.06.01.02.05,ПЕРЕХОДЫ ИЗ ПОЛИЭТИЛЕНА
1013,01.15.05.10,ТОЧИЛКИ ДЛЯ КАРАНДАШЕЙ
1014,01.02.10.50.60,БРАСЛЕТЫ ИДЕНТИФИКАЦИОННЫЕ МЕДИЦИНСКИЕ
1015,01.11.01.04.10.01,КЛАПАНЫ СЛИВНЫЕ
1016,01.11.01.04.10.04,СЛИВЫ-ПЕРЕЛИВЫ
1017,01.02.10.54.04,РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ МЕДИЦИНЫ ЧАСТЬ 8
1018,03.08.02.02,УСЛУГИ ДЕЗИНФЕКЦИИ
1019,01.11.01.03.04.01.02,КОТЛЫ ВОДОГРЕЙНЫЕ
1020,01.02.11.01.03.07.02,"ОФТАЛЬМОСКОП ПРЯМОЙ, С ПИТАНИЕМ ОТ БАТАРЕИ"
1021,03.20.03,УСЛУГИ СТОЯНКИ ТРАНСПОРТНЫХ СРЕДСТВ
1022,01.20.06.07.01,"ПРИБОРЫ СТОЛОВЫЕ, КУХОННЫЕ ИЗ НЕРЖАВЕЮЩЕЙ СТАЛИ"
1023,01.20.99.02.08,ЧАСЫ
1024,03.07.02.08.02,ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ ЛИФТОВ
1025,01.15.01.01.01,БУМАГА ДЛЯ ОФИСНОЙ ТЕХНИКИ
1026,01.16.08.07,ПОДСТАВКИ ДЛЯ НОГ ОФИСНЫЕ
1027,01.25.01.10,"ДОМКРАТЫ, ПОДСТАВКИ СТРАХОВОЧНЫЕ И КОМПЛЕКТУЮЩИЕ К НИМ"
1028,01.02.11.04.12.01.12,"СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ АНАЛИЗАТОРОВ ГЕМАТОЛОГИЧЕСКИХ"
1029,01.02.11.01.06.02.06,ИСТОЧНИКИ БЕСПЕРЕБОЙНОГО ПИТАНИЯ МЕДИЦИНСКИЕ
1030,01.13.11.03.04.02,ФОТОКАМЕРЫ ЦИФРОВЫЕ
1031,01.16.01.01,СТУЛЬЯ НА ДЕРЕВЯННОМ КАРКАСЕ
1032,01.11.03.09.03,МАТЕРИАЛЫ ЗВУКОИЗОЛЯЦИОННЫЕ
1033,01.13.04.99.03,КАРТРИДЕРЫ
1034,01.19.10.23,ЭЛЕМЕНТЫ СПЕЦИАЛЬНОЙ ОДЕЖДЫ И СРЕДСТВ ЗАЩИТЫ
1035,01.02.11.03.01.03.02,"КРЕСЛО ДЛЯ ОБЩЕГО ОСМОТРА/ТЕРАПЕВТИЧЕСКИХ ПРОЦЕДУР, МЕХАНИЧЕСКОЕ"
1036,02.12.99,"МОНТАЖ, УСТАНОВКА, СБОРКА ПРОЧЕГО ОБОРУДОВАНИЯ"
1037,01.02.10.27.37,СИСТЕМА ЗАЩИТЫ СОННЫХ АРТЕРИЙ ОТ ЭМБОЛИИ
1038,01.02.10.01,МЕДИЦИНСКИЕ СШИВАЮЩИЕ АППАРАТЫ
1039,01.20.04.03,СРЕДСТВА ДЕЗИНФИЦИРУЮЩИЕ ХОЗЯЙСТВЕННЫЕ
1040,01.02.10.43.01.105.01,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ АНАЛИЗАТОРОВ АВТОМАТИЧЕСКИХ ГЛЮКОЗЫ, ЛАКТАТА И ГЕМОГЛОБИНА СЕРИИ ""SUPER GL"", ПРОИЗВОДСТВА ""DR. MULLER GERATEBAU GMBH"""
1041,01.02.11.03.02.01,КРОВАТЬ С ЭЛЕКТРОПРИВОДОМ АДАПТАЦИОННАЯ
1042,01.02.10.43.14,"РЕАГЕНТЫ, РАСХОДНЫЕ МАТЕРИАЛЫ И ПРОЧИЕ СОПУТСТВУЮЩИЕ ПРИНАДЛЕЖНОСТИ ДЛЯ АНАЛИЗАТОРОВ"
1043,03.31.04.99,АРЕНДА ПРОЧИХ ПРЕДМЕТОВ И ИМУЩЕСТВА
1044,01.02.10.20.01.02,"РАСХОДНЫЕ МАТЕРИАЛЫ К АППАРАТАМ ""ИСКУСТВЕННАЯ ПОЧКА"" 4008, 5008"
1045,01.02.10.54.27,ПРИНАДЛЕЖНОСТИ ДЛЯ ИЗМЕРЕНИЯ АРТЕРИАЛЬНОГО ДАВЛЕНИЯ
1046,03.30.01.01.02,ЭКСПЕРТИЗА КАЧЕСТВА ПРОЧИХ ОБЪЕКТОВ
1047,02.17.06.01,ИЗГОТОВЛЕНИЕ ПЕЧАТЕЙ
1048,01.10.08.08,ФРАКЦИИ ГАЗООБРАЗНЫХ УГЛЕВОДОРОДОВ
1049,01.10.02.10,СРЕДСТВА ДЛЯ УДАЛЕНИЯ РЖАВЧИНЫ И АНТИКОРРОЗИЙНЫЕ СРЕДСТВА
1050,01.20.99.02.01,ЧАСЫ НАСТЕННЫЕ
1051,02.01.08,ИЗЫСКАНИЯ ИНЖЕНЕРНЫЕ ДЛЯ ПОДГОТОВКИ ПРОЕКТНОЙ ДОКУМЕНТАЦИИ
1052,01.02.11.01.01.07.05,ДОЗИМЕТРЫ
1053,01.11.06.02.01.02,ТРУБЫ МЕТАЛЛИЧЕСКИЕ ГОФРИРОВАННЫЕ СПИРАЛЬНОВИТЫЕ
1054,01.13.02.05,УСТРОЙСТВА СПУТНИКОВОЙ НАВИГАЦИИ АВТОМОБИЛЬНЫЕ
1055,01.10.05.02.03.02.03,ЛАМПЫ МЕТАЛЛОГАЛОГЕННЫЕ
1056,01.11.05.12.01,ФАНЕРА ОБЩЕГО НАЗНАЧЕНИЯ
1057,01.02.10.55.04,АНТИСЕПТИКИ КОЖНЫЕ
1058,01.03.02.05.01,ТУРНИКЕТЫ
1059,01.13.04.02.01.12,ПРИНТЕРЫ СПЕЦИАЛИЗИРОВАННЫЕ
1060,01.11.01.04.03,ВАННЫ
1061,01.02.10.49.22,ПРИНАДЛЕЖНОСТИ И РАСХОДНЫЕ МАТЕРИАЛЫ ДЛЯ ЭЛЕКТРОХИРУРГИЧЕСКОГО ОБОРУДОВАНИЯ
1062,01.11.01.04.13,ФИЛЬТРЫ СЕТЧАТЫЕ
1063,01.06.01.04.01,СТОЛЫ УЧЕНИЧЕСКИЕ
1064,01.11.03.12.02,ЛИНОЛЕУМ
1065,01.20.07.01.02,ИНВЕНТАРЬ КУХОННЫЙ ДЕРЕВЯННЫЙ
1066,01.02.11.01.13.02.32,СИСТЕМА МУЛЬТИМОДАЛЬНОЙ ФИЗИОТЕРАПИИ
1067,01.11.03.01.02.02.01.04,ДВУТАВРЫ СТАЛЬНЫЕ ГОРЯЧЕКАТАНЫЕ С ПАРАЛЛЕЛЬНЫМИ ГРАНЯМИ ПОЛОК
1068,01.11.03.07.02,КЛЕЙ ПОЛИМЕРНЫЙ
1069,01.02.10.50.20,АПТЕЧКИ МЕДИЦИНСКИЕ
1070,01.15.05.03.01.04,ДОСКИ ИНФОРМАЦИОННЫЕ
1071,01.20.13.99,"КОВРЫ, КОВРИКИ, КОВРОВЫЕ ПОКРЫТИЯ, ДОРОЖКИ, КРОМЕ ТЕКСТИЛЬНЫХ (ТКАНЫХ) ПРОЧИЕ"
1072,01.02.11.04.13.04,"СОСТАВНЫЕ И ЗАМЕНЯЕМЫЕ ЧАСТИ, ПРИНАДЛЕЖНОСТИ И КОМПЛЕКТУЮЩИЕ ДЛЯ МЕХАНОТЕРАПЕВТИЧЕСКОГО И РЕАБИЛИТАЦИОННОГО ОБОРУДОВАНИЯ"
1073,01.02.11.01.12.01.03.02,АНАЛИЗАТОРЫ БИОХИМИЧЕСКИЕ ПРОЧИЕ
1074,01.15.05.01.05.02.01,ПОДСТАВКИ ДЛЯ КАНЦЕЛЯРСКИХ ПРИНАДЛЕЖНОСТЕЙ МЕТАЛЛИЧЕСКИЕ
1075,01.20.11.08,СУШИЛКИ ДЛЯ ОБУВИ
1076,01.11.01.04.02,РАКОВИНЫ
1077,01.01.10.01.01,МОЛОКО ПИТЬЕВОЕ
1078,01.01.06.01.10,ХЛЕБ НЕДЛИТЕЛЬНОГО ХРАНЕНИЯ
1079,01.17.04,НАПОЛНИТЕЛИ ДЛЯ СОДЕРЖАНИЯ ЖИВОТНЫХ
1080,01.02.10.54.05,"ТЕРМОБУМАГА, ДИАГРАММНАЯ БУМАГА И ТЕРМОЛЕНТЫ ДЛЯ ЭКГ И ФЕТАЛЬНЫХ МОНИТОРОВ"
1081,01.11.03.13,МАТЕРИАЛЫ СТРОИТЕЛЬНЫЕ СТРУКТУРНЫЕ
1082,01.19.99,АКСЕССУАРЫ
